cor_char,IS_cor_r,IS_cor_p,IS_CI_left,IS_CI_right,IS_adj.p,cor_char,IR_cor_r,IR_cor_p,IR_CI_left,IR_CI_right,IR_adj.p,Sig_num
genus_Clostridium.XI vs genus_Faecalibacterium,-0.152599341,0.051090613,-0.299741835,0.001634577,0.16536509,genus_Clostridium.XI vs genus_Faecalibacterium,-0.221687275,0.006054382,-0.368844515,-0.063688469,0.041267539,1
genus_Clostridium.XI vs genus_Flavonifractor,0.20722453,0.007757766,0.054779446,0.350229089,0.042879291,genus_Clostridium.XI vs genus_Flavonifractor,0.02026655,0.804269302,-0.140451154,0.179943629,0.91049355,1
genus_Clostridium.XI vs genus_Oscillibacter,-0.276018667,0.000346922,-0.412651342,-0.12723859,0.003316487,genus_Clostridium.XI vs genus_Oscillibacter,-0.240972069,0.00278452,-0.386314682,-0.083952673,0.02215953,2
genus_Clostridium.XI vs genus_Pseudoflavonifractor,-0.23726775,0.002220226,-0.377646769,-0.086226959,0.015696478,genus_Clostridium.XI vs genus_Pseudoflavonifractor,0.048303456,0.554551194,-0.11283152,0.206962844,0.747267566,1
genus_Clostridium.XI vs genus_unclassified_Coriobacteriaceae,0.203737176,0.008879572,0.051148569,0.347030547,0.0476924,genus_Clostridium.XI vs genus_unclassified_Coriobacteriaceae,0.008328601,0.918886838,-0.15213599,0.168365401,0.965243949,1
genus_Clostridium.XVIII vs genus_Faecalibacterium,-0.129819023,0.097560476,-0.27844079,0.024874356,0.257898998,genus_Clostridium.XVIII vs genus_Faecalibacterium,-0.227734271,0.004777067,-0.374333724,-0.070028581,0.034143302,1
genus_Clostridium.XVIII vs genus_Oscillibacter,-0.220766167,0.004501502,-0.362617704,-0.068916714,0.028042141,genus_Clostridium.XVIII vs genus_Oscillibacter,-0.125868842,0.1223083,-0.280472692,0.035100734,0.307117758,1
genus_Clostridium.XlVa vs genus_Clostridium.XlVb,0.293240822,0.000138568,0.145630241,0.428080039,0.001571818,genus_Clostridium.XlVa vs genus_Clostridium.XlVb,0.328438617,3.61E-05,0.177521105,0.464263153,0.000583976,2
genus_Clostridium.XlVa vs genus_Faecalibacterium,-0.201952211,0.009507504,-0.345392117,-0.049291703,0.049975074,genus_Clostridium.XlVa vs genus_Faecalibacterium,-0.123007031,0.131106444,-0.277792355,0.038003672,0.321077007,1
genus_Clostridium.XlVa vs genus_Parabacteroides,0.204521639,0.008615416,0.051964965,0.347750334,0.046713788,genus_Clostridium.XlVa vs genus_Parabacteroides,-0.160279797,0.048550123,-0.312513878,-1.88E-05,0.171619041,1
genus_Clostridium.XlVa vs genus_Roseburia,0.354396548,3.23E-06,0.211773751,0.482239388,6.81E-05,genus_Clostridium.XlVa vs genus_Roseburia,0.159516509,0.049645561,-0.000764562,0.311806892,0.174275411,1
genus_Clostridium.XlVa vs genus_Ruminococcus,-0.287672189,0.000187647,-0.423099889,-0.13967228,0.002037312,genus_Clostridium.XlVa vs genus_Ruminococcus,-0.169563595,0.036760792,-0.321099399,-0.009561909,0.141818283,1
genus_Clostridium.XlVa vs genus_unclassified_Bacteria,-0.406487315,6.63E-08,-0.527612795,-0.269162563,2.04E-06,genus_Clostridium.XlVa vs genus_unclassified_Bacteria,-0.269395681,0.000790258,-0.411875013,-0.114058489,0.008097927,2
genus_Clostridium.XlVa vs genus_unclassified_Clostridiales,-0.441719796,3.20E-09,-0.557915,-0.308539318,1.11E-07,genus_Clostridium.XlVa vs genus_unclassified_Clostridiales,-0.24281072,0.002577433,-0.387974895,-0.085891509,0.020655704,2
genus_Clostridium.XlVa vs genus_unclassified_Lachnospiraceae,0.20794174,0.007543308,0.055526672,0.350886487,0.041897059,genus_Clostridium.XlVa vs genus_unclassified_Lachnospiraceae,0.326915054,3.94E-05,0.175867565,0.462923154,0.000626638,2
genus_Clostridium.XlVa vs genus_unclassified_Ruminococcaceae,-0.311013063,5.05E-05,-0.443919558,-0.164716902,0.000691127,genus_Clostridium.XlVa vs genus_unclassified_Ruminococcaceae,-0.338072896,2.05E-05,-0.472722292,-0.187997066,0.000357565,2
genus_Clostridium.XlVb vs genus_Flavonifractor,0.209484098,0.007099867,0.05713416,0.352299746,0.040217879,genus_Clostridium.XlVb vs genus_Flavonifractor,0.221563955,0.006083334,0.063559304,0.368732464,0.041295402,2
genus_Clostridium.XlVb vs genus_Oscillibacter,0.21232929,0.006342305,0.060101571,0.354905079,0.036795053,genus_Clostridium.XlVb vs genus_Oscillibacter,-0.233642975,0.003767836,-0.37968749,-0.076236029,0.028028277,2
genus_Clostridium.XlVb vs genus_Parasutterella,0.224080054,0.003921007,0.072385677,0.365641809,0.025218322,genus_Clostridium.XlVb vs genus_Parasutterella,0.217013238,0.007241827,0.058796591,0.364594576,0.046974015,2
genus_Clostridium.XlVb vs genus_unclassified_Bacteria,-0.277762686,0.000316978,-0.414217321,-0.129096395,0.003088505,genus_Clostridium.XlVb vs genus_unclassified_Bacteria,-0.191803837,0.017922369,-0.341566042,-0.032542632,0.087314105,1
genus_Clostridium.XlVb vs genus_unclassified_Clostridiales,-0.28174111,0.000257414,-0.417786581,-0.133338296,0.002628567,genus_Clostridium.XlVb vs genus_unclassified_Clostridiales,-0.300460601,0.000169216,-0.439556482,-0.147291495,0.002236588,2
genus_Clostridium.XlVb vs genus_unclassified_Coriobacteriaceae,-0.214611276,0.005787697,-0.356993087,-0.062483529,0.034275193,genus_Clostridium.XlVb vs genus_unclassified_Coriobacteriaceae,0.02811064,0.731013046,-0.132748927,0.187527346,0.863132959,1
